SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Total_Return_%,Trades
False,True,False,False,True,False,False,40,60,158.23064993314526,11.0
True,True,False,False,False,False,False,40,60,129.44752774654248,6.5
False,True,False,False,True,False,False,20,80,127.79345029480771,0.0
True,False,False,False,True,True,False,40,60,126.30276330856174,0.5
True,True,False,False,True,True,False,40,60,126.30276330856174,0.5
False,False,False,False,True,True,False,40,60,114.72662368407657,2.0
False,True,False,False,True,True,False,40,60,114.72662368407657,2.0
False,True,False,False,False,False,False,40,60,111.37563502597745,33.5
True,False,False,False,False,False,False,40,60,97.35339763487497,8.5
True,True,True,False,False,False,False,20,80,97.30097199607212,0.5
True,True,True,False,False,False,False,30,70,97.30097199607212,0.5
False,True,False,False,False,False,True,40,60,96.13425579376236,13.0
False,False,False,False,False,True,False,20,80,94.05936683330731,1.0
False,True,False,False,False,True,False,20,80,93.90326985899138,1.0
False,True,True,False,True,True,False,40,60,92.90921885941256,0.5
True,True,True,False,True,True,False,40,60,92.90921885941256,0.5
False,False,True,False,True,True,False,40,60,92.90921885941256,0.5
True,False,True,False,True,True,False,40,60,92.90921885941256,0.5
True,True,False,False,False,False,True,40,60,88.87778282616043,3.5
False,False,False,False,True,False,False,20,80,84.65441343457107,0.0
False,False,False,False,False,False,True,40,60,83.1490813614987,30.5
False,False,False,False,True,False,False,30,70,80.7391727021267,3.0
False,True,False,False,True,False,False,30,70,77.66214938538522,2.0
False,False,True,False,True,False,False,30,70,68.2557947334952,0.5
True,False,True,False,True,False,False,30,70,68.2557947334952,0.5
False,True,False,False,False,False,True,20,80,68.10710982056196,4.5
False,False,False,False,True,False,True,40,60,65.89049885947034,3.5
True,True,True,False,True,False,False,40,60,65.74674291156077,1.0
False,True,True,False,True,False,False,40,60,65.74674291156077,1.0
True,True,True,False,True,False,False,30,70,65.1125432313678,0.5
False,True,True,False,True,False,True,40,60,65.1125432313678,0.5
True,True,True,False,True,False,True,40,60,65.1125432313678,0.5
False,False,True,False,True,False,True,30,70,65.1125432313678,0.0
True,True,True,False,True,False,True,30,70,65.1125432313678,0.0
False,True,False,False,True,False,True,30,70,65.1125432313678,0.5
False,True,True,False,True,False,False,30,70,65.1125432313678,0.5
True,True,False,False,True,False,True,30,70,65.1125432313678,0.0
True,False,False,False,True,False,True,30,70,65.1125432313678,0.5
True,True,False,False,True,False,False,30,70,65.1125432313678,0.5
True,False,True,False,True,False,True,30,70,65.1125432313678,0.0
False,True,True,False,True,False,True,30,70,65.1125432313678,0.0
False,False,False,False,True,False,True,30,70,65.1125432313678,0.5
True,True,False,False,False,True,True,40,60,63.99832267706289,1.0
True,True,False,False,False,True,False,40,60,60.15516647292045,1.0
False,True,True,False,False,False,True,20,80,59.62965222293033,0.5
True,True,True,False,False,False,True,20,80,59.62965222293033,0.0
True,True,True,False,False,False,True,30,70,59.62965222293033,0.0
True,True,True,False,False,False,True,40,60,59.62965222293033,0.5
False,True,True,False,False,False,True,40,60,58.32891464441972,1.5
False,True,True,False,False,False,True,30,70,58.32891464441972,1.5
False,True,False,False,True,False,True,40,60,57.20537610407932,2.5
True,False,False,False,True,False,False,40,60,56.26860207339446,6.5
False,False,False,False,True,False,False,40,60,55.41124533368096,14.0
True,False,False,False,False,False,True,40,60,51.42802240936983,5.5
True,True,False,False,True,False,False,40,60,51.1602192993645,5.5
True,False,False,False,False,True,False,40,60,49.29011813086679,3.0
True,True,False,False,False,False,True,20,80,39.73730768460908,1.0
True,True,True,False,False,True,False,40,60,39.341156193066325,1.0
True,False,False,False,False,False,False,30,70,37.740826904150126,7.0
True,False,True,False,False,False,False,30,70,35.908817767276055,2.5
True,False,True,False,False,True,False,30,70,34.76063500818054,0.0
False,False,True,False,False,True,False,30,70,34.76063500818054,0.5
True,False,False,False,False,True,False,30,70,34.76063500818054,0.0
True,False,True,False,False,False,False,20,80,34.303123040802454,2.5
True,True,False,False,False,False,True,30,70,32.2608243688933,1.0
True,False,False,False,True,False,False,30,70,31.557577885259658,1.5
False,False,False,False,False,False,True,30,70,30.32535125744009,19.5
True,False,False,False,False,False,False,20,80,27.19326650011018,6.0
False,True,False,False,False,True,False,30,70,27.160978263751655,2.5
False,False,True,False,False,False,True,30,70,26.95873559803723,2.5
True,False,True,False,False,False,True,30,70,26.95873559803723,2.5
True,True,False,False,True,False,True,40,60,26.915939650698583,1.5
False,False,False,False,False,True,False,30,70,26.222289960871215,3.5
False,True,False,False,False,False,True,30,70,26.081989226978862,7.5
True,False,False,False,False,True,True,40,60,25.599736814266706,1.0
False,True,False,False,False,False,False,30,70,25.59137746856979,18.0
False,False,False,False,False,False,True,20,80,22.851758071738026,14.5
False,True,False,False,False,True,True,20,80,22.3185218248533,0.5
False,False,True,False,False,False,False,30,70,20.166622148364244,3.0
False,False,True,False,False,False,False,20,80,18.746913591909852,3.0
False,False,True,False,False,False,True,20,80,18.640012299076947,2.5
True,False,True,False,False,False,True,20,80,18.640012299076947,2.5
True,False,False,False,True,False,True,40,60,17.932899364890197,3.5
False,True,False,False,False,False,False,20,80,17.634876930537736,11.0
False,True,True,False,False,False,False,30,70,14.328436233487295,3.0
False,False,True,False,True,False,True,40,60,14.13245321543295,2.0
True,False,True,False,True,False,True,40,60,14.13245321543295,2.0
True,False,True,False,True,False,False,40,60,14.122048409226018,3.0
False,False,True,False,True,False,False,40,60,14.122048409226018,3.0
True,True,False,False,False,False,False,20,80,8.181302351368934,3.0
False,False,True,False,False,False,True,40,60,7.480859092145886,3.0
True,False,True,False,False,False,True,40,60,7.480859092145886,3.0
False,True,False,False,False,True,False,40,60,5.825668961900665,8.0
False,False,False,False,False,True,True,20,80,5.325308200221346,0.5
True,False,False,False,False,False,True,30,70,4.595794648559148,5.0
True,False,True,False,False,False,False,40,60,3.3328584662456917,4.0
False,False,True,False,False,False,False,40,60,3.3328584662456917,4.0
False,True,True,False,False,True,False,40,60,2.764152071996473,2.0
True,False,True,False,False,True,False,40,60,1.7754140491467618,2.0
True,True,False,False,False,False,False,30,70,1.6757359406259331,4.0
True,True,True,False,False,False,False,40,60,1.4089374024669032,3.0
False,True,False,False,True,True,True,40,60,0.0,0.0
False,True,False,False,True,True,False,20,80,0.0,0.0
False,True,True,False,True,True,True,30,70,0.0,0.0
False,True,False,False,True,True,False,30,70,0.0,0.0
False,True,False,False,True,False,True,20,80,0.0,0.0
False,True,False,False,True,True,True,30,70,0.0,0.0
False,True,False,False,True,True,True,20,80,0.0,0.0
False,True,False,True,False,False,False,40,60,0.0,0.0
False,True,False,True,False,False,False,30,70,0.0,0.0
False,True,False,True,False,True,False,30,70,0.0,0.0
False,True,False,True,False,False,False,20,80,0.0,0.0
False,True,False,True,False,False,True,40,60,0.0,0.0
False,True,False,True,True,True,True,30,70,0.0,0.0
False,True,True,True,False,False,False,20,80,0.0,0.0
False,True,True,True,False,False,False,30,70,0.0,0.0
False,True,False,True,False,True,False,40,60,0.0,0.0
False,True,True,True,False,False,False,40,60,0.0,0.0
False,True,False,True,False,False,True,20,80,0.0,0.0
False,True,True,False,True,True,True,20,80,0.0,0.0
False,True,False,True,False,False,True,30,70,0.0,0.0
False,True,False,True,True,True,True,20,80,0.0,0.0
False,True,True,False,False,True,True,20,80,0.0,0.0
False,True,True,False,True,False,False,20,80,0.0,0.0
False,True,False,True,False,True,False,20,80,0.0,0.0
False,True,False,True,False,True,True,40,60,0.0,0.0
False,True,False,True,False,True,True,30,70,0.0,0.0
False,True,True,False,False,True,True,30,70,0.0,0.0
True,True,True,False,False,True,False,30,70,0.0,0.0
True,True,True,False,False,True,False,20,80,0.0,0.0
True,True,True,False,False,True,True,40,60,0.0,0.0
True,True,True,False,False,True,True,30,70,0.0,0.0
True,True,True,False,False,True,True,20,80,0.0,0.0
True,True,True,False,True,False,False,20,80,0.0,0.0
False,True,False,True,False,True,True,20,80,0.0,0.0
False,True,False,True,True,False,False,40,60,0.0,0.0
False,True,False,True,True,False,False,30,70,0.0,0.0
False,True,True,False,True,True,False,20,80,0.0,0.0
False,True,True,False,False,True,True,40,60,0.0,0.0
False,True,True,False,False,True,False,20,80,0.0,0.0
False,True,True,False,False,True,False,30,70,0.0,0.0
False,True,False,True,True,False,True,40,60,0.0,0.0
False,True,False,True,True,False,True,30,70,0.0,0.0
False,True,False,True,True,False,True,20,80,0.0,0.0
False,True,True,True,False,True,False,30,70,0.0,0.0
False,True,True,True,False,True,False,40,60,0.0,0.0
False,True,True,True,False,False,True,20,80,0.0,0.0
False,True,True,True,False,False,True,30,70,0.0,0.0
False,True,True,True,False,False,True,40,60,0.0,0.0
False,True,False,True,True,True,False,40,60,0.0,0.0
False,True,False,True,True,True,False,30,70,0.0,0.0
False,True,False,True,True,True,False,20,80,0.0,0.0
False,True,False,True,True,True,True,40,60,0.0,0.0
False,True,False,True,True,False,False,20,80,0.0,0.0
False,False,False,True,False,False,True,20,80,0.0,0.0
False,False,False,True,False,False,True,30,70,0.0,0.0
False,False,False,True,False,False,True,40,60,0.0,0.0
False,False,False,True,False,False,False,20,80,0.0,0.0
False,False,False,True,False,False,False,30,70,0.0,0.0
False,False,False,True,False,False,False,40,60,0.0,0.0
False,False,False,False,True,True,True,20,80,0.0,0.0
False,False,False,False,True,True,True,30,70,0.0,0.0
False,True,True,False,True,True,True,40,60,0.0,0.0
False,False,False,False,True,True,False,20,80,0.0,0.0
False,False,False,False,True,True,False,30,70,0.0,0.0
False,False,False,False,True,False,True,20,80,0.0,0.0
False,False,False,True,True,False,False,30,70,0.0,0.0
False,False,False,True,True,False,False,40,60,0.0,0.0
False,False,False,True,False,True,True,20,80,0.0,0.0
False,False,False,True,False,True,True,30,70,0.0,0.0
False,False,False,True,False,True,True,40,60,0.0,0.0
False,False,False,False,True,True,True,40,60,0.0,0.0
False,False,False,True,True,False,False,20,80,0.0,0.0
True,True,True,True,False,True,False,30,70,0.0,0.0
True,True,True,True,False,True,False,40,60,0.0,0.0
True,True,True,True,False,False,True,20,80,0.0,0.0
True,True,True,True,False,False,True,30,70,0.0,0.0
True,True,True,True,False,False,True,40,60,0.0,0.0
True,True,True,True,False,False,False,20,80,0.0,0.0
True,True,True,True,False,False,False,30,70,0.0,0.0
False,False,False,True,False,True,False,40,60,0.0,0.0
True,True,True,False,True,True,True,20,80,0.0,0.0
True,True,True,False,True,True,True,30,70,0.0,0.0
True,True,True,False,True,True,True,40,60,0.0,0.0
True,True,True,False,True,True,False,20,80,0.0,0.0
True,True,True,False,True,True,False,30,70,0.0,0.0
True,True,True,False,True,False,True,20,80,0.0,0.0
True,True,True,True,False,True,False,20,80,0.0,0.0
False,False,False,True,False,True,False,30,70,0.0,0.0
True,True,True,True,False,False,False,40,60,0.0,0.0
False,False,True,False,True,False,True,20,80,0.0,0.0
False,False,True,True,True,True,True,20,80,0.0,0.0
False,False,True,True,True,True,True,30,70,0.0,0.0
False,False,True,True,True,True,True,40,60,0.0,0.0
False,False,True,True,True,True,False,20,80,0.0,0.0
False,False,True,True,True,True,False,30,70,0.0,0.0
False,False,True,True,True,True,False,40,60,0.0,0.0
False,False,True,True,True,False,True,20,80,0.0,0.0
False,False,False,True,False,True,False,20,80,0.0,0.0
False,False,True,True,True,False,True,40,60,0.0,0.0
False,False,True,True,True,False,False,20,80,0.0,0.0
False,False,True,True,True,False,False,30,70,0.0,0.0
False,False,True,True,True,False,False,40,60,0.0,0.0
False,False,True,True,False,True,True,20,80,0.0,0.0
False,False,True,True,False,True,True,30,70,0.0,0.0
False,False,True,True,False,True,True,40,60,0.0,0.0
False,False,True,True,False,True,False,20,80,0.0,0.0
False,False,True,True,True,False,True,30,70,0.0,0.0
False,False,True,False,True,False,False,20,80,0.0,0.0
False,False,True,False,False,True,True,20,80,0.0,0.0
False,False,True,False,False,True,True,30,70,0.0,0.0
False,False,True,False,False,True,True,40,60,0.0,0.0
False,False,True,False,False,True,False,20,80,0.0,0.0
False,False,True,True,False,True,False,30,70,0.0,0.0
False,False,True,True,False,True,False,40,60,0.0,0.0
False,False,True,True,False,False,True,20,80,0.0,0.0
False,False,True,False,True,True,False,30,70,0.0,0.0
False,False,True,True,False,False,True,40,60,0.0,0.0
False,False,True,True,False,False,False,20,80,0.0,0.0
False,False,True,True,False,False,False,30,70,0.0,0.0
False,False,True,True,False,False,False,40,60,0.0,0.0
False,False,True,False,True,True,True,20,80,0.0,0.0
False,False,True,False,True,True,True,30,70,0.0,0.0
False,False,True,False,True,True,True,40,60,0.0,0.0
False,False,True,False,True,True,False,20,80,0.0,0.0
False,False,True,True,False,False,True,30,70,0.0,0.0
True,False,True,True,True,True,False,30,70,0.0,0.0
True,False,True,True,True,True,False,40,60,0.0,0.0
True,False,True,True,True,False,True,20,80,0.0,0.0
True,False,True,True,True,False,True,30,70,0.0,0.0
True,False,True,True,True,False,True,40,60,0.0,0.0
True,False,True,True,True,False,False,20,80,0.0,0.0
True,False,True,True,True,False,False,30,70,0.0,0.0
True,False,True,True,True,False,False,40,60,0.0,0.0
False,True,True,True,False,True,True,20,80,0.0,0.0
True,False,True,True,False,True,True,30,70,0.0,0.0
True,False,True,True,False,True,True,40,60,0.0,0.0
True,False,True,True,False,True,False,20,80,0.0,0.0
True,True,False,False,True,False,False,20,80,0.0,0.0
True,True,False,False,False,True,True,20,80,0.0,0.0
True,True,False,False,False,True,True,30,70,0.0,0.0
True,True,False,False,False,True,False,20,80,0.0,0.0
True,True,False,False,False,True,False,30,70,0.0,0.0
True,False,True,True,False,True,True,20,80,0.0,0.0
True,False,True,True,False,True,False,30,70,0.0,0.0
True,False,True,True,False,True,False,40,60,0.0,0.0
True,False,True,True,False,False,True,20,80,0.0,0.0
True,False,True,True,False,False,True,30,70,0.0,0.0
True,False,True,True,False,False,True,40,60,0.0,0.0
True,False,True,True,False,False,False,20,80,0.0,0.0
True,False,True,True,False,False,False,30,70,0.0,0.0
True,False,True,True,False,False,False,40,60,0.0,0.0
True,False,True,True,True,True,False,20,80,0.0,0.0
True,False,True,False,True,True,True,30,70,0.0,0.0
True,False,True,False,True,True,True,40,60,0.0,0.0
True,False,True,False,True,True,False,20,80,0.0,0.0
True,False,True,False,True,True,False,30,70,0.0,0.0
True,False,True,False,True,False,True,20,80,0.0,0.0
True,False,True,True,True,True,True,20,80,0.0,0.0
True,False,True,True,True,True,True,30,70,0.0,0.0
True,False,True,True,True,True,True,40,60,0.0,0.0
True,False,True,False,True,True,True,20,80,0.0,0.0
True,True,True,True,True,False,False,30,70,0.0,0.0
True,True,True,True,True,False,False,40,60,0.0,0.0
True,True,True,True,False,True,True,20,80,0.0,0.0
True,True,True,True,False,True,True,30,70,0.0,0.0
True,True,True,True,False,True,True,40,60,0.0,0.0
True,True,True,True,True,True,True,20,80,0.0,0.0
True,True,True,True,True,True,True,30,70,0.0,0.0
True,True,True,True,True,True,True,40,60,0.0,0.0
